description,title,year,day,month_str,incident_n,month_n,grid_ref
"Each year we are asked to marshall this annual trail race. The course covers an area around Coppermines Valley, Torver, and returns to the village via the lakeshore. Runners from all over the UK compete.Today there were several injuries ranging from a possible arm fracture, head and leg lacerations and cramps. Members of the team helped where they could, but mainly it was ferrying the casualties to the event field. Only 1 person was taken to hospital with an arm injury.It was a good event helped by perfect weather conditions. However the ground underfoot was very slippy which could be a little hazardous at certain points along the route.",Coniston area,2012,6,October,38,NA,NA
"We became Knights of the Road again this Friday evening.This call out was originally allocated to the Langdale & Ambleside MR Team. However, they were having their Xmas dinner and asked us to attend. Ever obliging of course we did.A husband and wife, with their young son, were trying to negotiate Wrynose Pass in their vehicle. Unfortunately towards the top of the Pass, black ice caused them to lose their grip and the car was simply going nowhere.Two of our landrovers drove to the stranded family. Indeed it was very icy underfoot. The mother and son were carefully transferred to one of our vehicles for warmth whilst we assisted in getting the car safely back into driveable mode.We escorted the family back down to Elterwater and gave them directions to their destination in Eskdale. It was a long way round, but a safe one.The call out took 1 1/2 hours.
raw",Wrynose Pass,2012,14,December,52,NA,NA
"We returned to Grizedale Forest this Saturday to attend to another mountain biker.He was cycling the Fox Trail when the slippy surface caused him to come off his bike. The young man sustained a lower leg laceration which was very painful. Once he had been given pain relief he was put onto a stretcher and taken to the waiting helicopter. The Great North Air Ambulance then took him to Lancaster Royal Infirmary.The call out took 2 hours and 10 members were deployed.The team has now attended over 50 incidents this year, well above last year’s figure…and there is still the rest of the month to go with lots of snow and ice forecast….perfect conditions for would be casualties!!raw",Grizedale Forest,2012,1,December,51,NA,NA
Today the team was called out to the aid of a female walker.She had been walking on the track between Goatswater and Walna Scar when a strong gust of wind blew her over. She sustained an injury to her ribs and was in a lot of pain. Fortunately the Air Ambulance was able to attend and take her to Furness General.The team took the rest of the walking party back to the Rescue Base.The call out took under 1 1/2 hours due to the locality and helicopter evacuation. This was good because we seem to be spending a lot of time on call outs these last couple of months and have well exceeded last year’s turn out figure.,Goatswater Track,2012,25,November,50,NA,NA
"A mountain biker was cycling along the North Face Trail in the forest when he came off his bike, probably due to the slippy boarding.He sustained a possible fracture to his leg and an injury to his knee. He was in a lot of pain and was therefore given strong pain relief. The leg was splinted and the casualty was then stretchered to the waiting ambulance.10 team members attended this call out which took 2 hours.",Grizedale Forest,2012,20,November,49,NA,NA
The team was called out to a gentleman who had collapsed on Brown Pike whilst out walking.Two team members were already walking in the area and therefore went ahead to the casualty. The Great North Air Ambulance however had been able to land fairly close by and two paramedics were already in attendance.Sadly this gentleman passed away at the scene. Once the rest of the team arrived he was stretchered off the fell and taken back to the rescue base. The protocol for a fatality was adhered to.Our thoughts are with the man’s family.,Brown Pike,2012,18,November,48,NA,NA
The team was called to assist a father and daughter who had become lost in thick mist on Coniston Old Man.Fortunately the team leader was able to ascertain over the phone where they were and talk them safely off the mountain. This meant that a full team deployment was not required.,Coniston Old Man,2012,16,November,47,NA,NA
The Ambulance Service called for our assistance to help a lady who had blacked out and fallen.She was on her way to walk round the lake when she became unwell. She sustained a possible fractured wrist and facial injuries. Fortunately she was very close to a road so access was not the difficulty originally perceived.Her wrist was splinted before being taken to Furness General Hospital.,Coniston,2012,12,November,46,NA,NA
"A climber became cragfast in the South Rake Gully on Dow Crag.13 team members attended this incident. Three rope pitches were used to get to the climber. He was then brought down to safety, cold but unhurt.Due to his location and the complication of snow on the ground the rescue took some 5 hours.",Dow Crag,2012,5,November,45,NA,NA
"The call came as a couple being lost on Wetherlam. It was a beautiful afternoon and the felltops were covered in snow. The tracks on the summit of Wetherlam would have been difficult to follow.However, after talking to the couple by mobile phone, it was ascertained that they were much lower down. Although they had been nervous to carry on since the way down seemed very steep, they were in fact not far from a good path in the Yewdale Fells.The couple were soon located and accompanied to safety.16 team members were deployed initially and the rescue took 2 hours.",Yewdale Fells,2012,4,November,44,NA,NA
