date,incident,title
2016-01-13,"Team called by Cumbria police on Wednesday night to assist in the search for a missing Kendal woman. The team and two of our search dogs conducted searches in areas highlighted by the police. Team stood down for the night at 21:00hrs. On Thursday, along with the assistance of 7 search dogs from Lake District Mountain Rescue Searchdogs and members from Duddon & Furness MRT, we continued the search for the missing person. After a full day of searching, teams were stood down as darkness fell. On Friday, one of our team members spent the day with a Mountain Rescue trailing dog. We were informed by the police that a woman’s body had been found and thanked for our efforts in the search. Our thoughts are with the family of the deceased. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Missing Person
2016-01-16,Team page by NWAS to assist with a casualty walking in the Howgills. Helimed was able to attend and team members were stood down as they were ascending the fell. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Casualty in the Howgills
2016-01-17,"Team called by Cumbria Police. A lady had taken a slip and was unable to weight bear on her ankle. The location was on Hampsfield, close to Hampsfield farm. The team located the casualty and her walking group, treated her for a suspected broken ankle and stretchered her too Mobile 4 then onto an awaiting land ambulance. During this callout we also received news of another incident. It was established that this was on Duddon & Furness MRT patch so we transferred the incident to them.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Casualty in Hampsfield
2016-01-17,During the previous callout we also received news of another incident. It was established that this was on Duddon & Furness MRT’s patch so we transferred the incident to them. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Birkby Hall
2016-02-07,The team was paged by NWAS to assist with an ankle injury in Arnside. The team was stood down en route. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Arnside
2016-02-07,Team put on standby for potential assistence with CRO search on Ingleborough. Our help was fortunately not required. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Search on Ingleborough
2016-02-14,"Team called by NWAS after a lady had taken a fall at Fawcett Bank near Cautley, we also requested the assistance of Kirkby Stephen MRT. Just as the first team vehicle was passing through Sedbergh our pagers activated informing us of a second incident on Winder Fell, we handed the first incident over to Kirkby team and headed to the second. Many thanks to the Kirkby team for the help. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Cautley
2016-02-14,"As the team attended the previous callout, we received a second page. A walker had taken a slip and received a suspected broken leg. After clarifying the position we were able to stretcher the casualty to the awaiting Helimed.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.",Winder Fell
2016-02-23,Team called by NWAS to assist wih a casualty on the Helm. Team stood down as we prepared to leave base. Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,The Helm
2016-02-25,Team called by NWAS airdesk; a lady had taken a fall on Gummers How and sustained a shoulder/back injury. We requested the assistance of Duddon and Furness MRT in case a stretcher carry was needed. Our team doctor was soon on scene and assisted the paramedics in treating the casualty. Fortunately she was able to make her way down on foot and the stretcher was not used. Many Thanks to Duddon & Furness MRT for the help.  Copyright Kendal Mountain Search & Rescue Team. All rights reserved.,Gummers How
