details,date,description,man_hours,type,location_name,grid_ref
Incident Report #31 1970,"Tuesday, 29 December, 1970 - 12:40"," Man, aged 22 years, slipped on the path between Rossett Ghyll and Angle Tarn. Sustained severe lacerations of the right leg below the knee. Brought down by the Team and attended to by Team Doctor in his surgery. All members of the party were adequately equipped.",NA,Fellwalking,Angle Tarn,NA
Incident Report #30 1970,"Thursday, 5 November, 1970 - 15:55","Student, aged 17 years, was suffering from slight exposure whilst on a scheme with the Ullswater Outward Bound School. Brought down by the team and taken in the School car to the Ullswater School.",NA,Fellwalking,NA,NA
Incident Report #29 1970,"Sunday, 25 October, 1970 - 16:00","Girl Student, 18 years, slipped and fell some 30ft. whilst descending The Band. Brought down by the Team and then conveyed to County Hospital, Kendal, by Ambulance. Sustained head and neck injuries.",NA,Fellwalking,The Band,NA
Incident Report #28 1970,"Saturday, 17 October, 1970 - 18:45","Student aged 19 years had been climbing on Gimmer Crag and on his way down after finishing the climb slipped and fell some 100ft. Was lowered a further 80ft. and carried down by stretcher to the O.D.G. Base. Suffered head injuries, was conveyed by Ambulance to County Hospital, Kendal",NA,Rock climbing,Gimmer Crag,NA
Incident Report #27 1970,"Monday, 12 October, 1970 - 16:15","Man, aged 33 years, walking down Blake Rigg towards Blea Tarn became crag bound. Persons in the area assisted the man down off the crag and with the Team brought down the man who was conveyed by Ambulance to County Hospital, Kendal, suffering from shock and slight exposure.",NA,Fellwalking,Blake Rigg,NA
Incident Report #26 1970,"Tuesday, 22 September, 1970 - 16:30","Two men (one a priest) aged 29 and 21 years, fell a considerable distance whilst climbing on Pavey Ark. the priest suffered leg, hand and facial injuries and his companion rib and thigh injuries. The team on this occasion was assisted by the Kendal Mountain Rescue Team. Both the injured were brought down by stretcher and conveyed to the County Hospital, Kendal.",NA,Rock climbing,Pavey Ark,NA
Incident Report #25 1970,"Tuesday, 22 September, 1970 - 16:15"," Two men (one a Priest) aged 29 years and 21 years, fell a considerable distance whilst climbing on Pavey Ark. The Priest suffered leg, hand and facial injuries and his companion rib and thigh injuries. The Team on this occasion was assisted by Kendal Mountain Rescue Team . Both the injured were brought down by stretcher and conveyed to the County Hospital, Kendal.",NA,Rock climbing,Pavey Ark,NA
Incident Report #24 1970,"Wednesday, 16 September, 1970 - 17:00"," Man, aged 18 years, walking on a path in Far Easedale on an organised Club Ramble. Sustained fractured kneecap. Brought down by Landrover and seen by local Doctor and conveyed by Ambulance to Kendal Hospital.",NA,Fellwalking,Far Easedale,NA
Incident Report #23 1970,"Tuesday, 15 September, 1970 - 20:00",The Vaux Mountain Trial: The Team was on stand-by duty and in control of some check points. The Team searched the area when one competitor was reported missing. The search was called off when the competitor returned of his own accord around 8 p.m.,NA,Fellrunning,Gt Langdale,NA
Incident Report #21 1970,"Wednesday, 2 September, 1970 - 07:30","Man, aged 30 years, walking down Middle Fell Gully slipped. Lowered by stretcher down gully and taken by ambulance to County Hospital, Kendal.",NA,Fellwalking,Middlefell,NA
