name,date,duration,members,Description,incident
Tal y Fan,2008-01-31,03:00,1,"The casualty was walking with friends on Tal y Fan with friends when she slipped on ice and injured her ankle. The Team were activated, with several Team members going directly to the location and arriving on scene very quickly, whilst the Team vehicle was brought round with extra equipment. It was decided that a helicopter evacuation would be in the best interests of the casualty but 22 Sqn were already operational in South Snowdonia. Therefore Helimed was requested. The casualty was carried a short distance to the helicopter and then flown to Ysbyty Gwynedd for treatment.",76
Heather Terrace,2008-01-29,01:45,1,"This well equipped couple had descended about half way down the Heather Terrace and then chosen to descend a small gully to reach the lower path in Cwm Tryfan. Unfortunately, the casualty slipped and tumbled about 10 feet striking her head on a rock on the way. She sustained a laceration to the scalp and a possible momentary loss of consciousness. When the Team were called the decision was made to request 22 Squadron as it would be dark before the Team could reach the casualty and the temperature was dropping below freezing. Luckily the heli was already in the air, so they did a quick snatch of the casualty and her companion dropping him at Oggie Base and taking her to hospital.",75
Hafna Mine,2008-01-28,04:00,1,"The Team were called to Hafna Mine to search for a dog that had entered one of the mine workings through a drainage pipe, and had not returned. The horizontal mine shaft was flooded so 3 Team members were kitted out in drysuits before entering the mine workings. An extensive search was carried out but no sign of the dog was found. The following day the dog’s body was recovered from the water near the entrance, where it had presumably drowned very soon after entering the mine.",74
Y Garn,2008-01-18,00:45,2,A party of 2 left Ogwen at about midday to climb Y Garn. They were due to be picked up at 4pm but had not arrived when the informant phoned for help at 5:30pm. The Team were already in the area attending another incident so several troops were diverted to look for the missing pair. Luckily they turned up safe and well at the car park shortly afterwards.,73
Llyn y Cwn area,2008-01-18,04:00,1,"The casualty arrived at the top of the Devil’s Kitchen as darkness fell. He had no torch and was not able to locate the path, but he did have a GPS to tell us where he was! As he could see Llyn y Cwn he was told to make his way there and to wait for Team members to arrive. However, e failed to do this. He left his rucksack under a boulder then went walkabouts. Not surprisingly he couldn’t find the boulder again! Therefore the Team had to locate both him and his rucksack before escorting him off the hill. Poor preparation and lack of equipment contributed to this unnecessary call-out.",72
Tal y Fan,2008-01-07,01:00,1,"The Team were asked to assist a casualty, on Tal y Fan, who had been having chest pain for more than 20 mins. He had self administered his GTN spray four times as he was known to suffer from angina, but this gave no relief so his party asked for help. 22 squadron were also tasked and arrived on scene at the same time as a member of OVMRO. The casualty was given morphine and oxygen and rapidly evacuated to Ysbyty Gwynedd, where a myocardial infarction was diagnosed.",71
North Gully Tryfan,2008-01-07,00:30,1,"The casualty had left the Milestone lay-by at 06:35am intending to walk the North Ridge of Tryfan and the Glyderau. Because of the icy conditions underfoot he diverted on to the Eastern Traverse as he had taken this route before. As he crossed North Gully and moved on to steeper ground he became anxious about the snow conditions and felt unable to move forward or backwards. Unusually there were no other climbers within shouting distance so he dialled 999. Luckily, 22 Squadron were already training in the mountains and snatched the man from his precarious perch. He was deposited at Base for a warm up",70
Devil's Kitchen,2008-01-06,03:10,2,"A group of 4 friends set off from Idwal carpark at about midday intending to walk over the Gylderau range. For some unknown reason they walked up to Idwal, ascended by the side of the Gribin Facet and then headed back towards Bochlwyd. At this point, 2 of the group went back to the car whilst the other 2 continued their walk. They went to Bwlch Tryfan, Llyn Caseg Ffraith, Glyder Fach, Glyder Fawr and started to descend towards the Devil Kitchen as darkness fell. Their progress slowed considerably on the icy path and, although they had torches, they felt it was too dangerous to continue. After several text messages to their friend they sent a text saying ‘Send Mountain Rescue!’ A small party was dispatched from Base to escort the pair of the mountain. Another case of poor planning, a late start and lack of awareness of weather conditions.",69
Capel Curig to Llyn  Crafnant,2008-01-29,02:15,1,"A party of three were planning on a long day out in the mountains, in beautiful weather, when unfortunately the casualty slipped on ice on the footpath only 20 minutes from setting out. She sustained an ankle injury and was unable to walk, so assistance was requested from the Team. As 22 squadron were training in the mountains they were also asked to assist. Although 22 squadron were first on scene, Oggie troops continued to the casualty site to assist the evacuation. The heli was almost called away before lifting the casualty which highlights the need for a ground party to be available. Luckily for her, the second job was cancelled and she was flown to Ysbyty Gwynedd for treatment.",68
Aber Area,2008-01-21,04:45,1,"Towards the end of a walk around the Aber area, the casualty was descending steep grassy terrain when she slipped and injured her ankle. Due to the location of the incident, one of her party had to walk back uphill for about 30 minutes before he was able to get a phone signal and request assistance. Team members rapidly made their way to Aber and to the casualty site just as darkness fell. The Cas Carers on scene decided that the injury warranted a request for 22 Sqn to assist, and the casualty was then packaged for a heli evacuation to hospital in deteriorating weather. If the precise location had been given on the original 999 call, the Team would possibly have taken a Landrover to the top of Afon Gam for a speedier evacuation.",67
