incident,n_incident,loc
A 60 year female slipped and injured her leg following a fall on wet rock at Stockley bridge around half a mile from Seathwaite. 2 vehicles of team members set off from base and were quickly with her. She was assessed and then stretchered to the ambulance which met them at Seathwaite before transferring her to Carlisle hospital. 14 team members – 1 hour 50 minutes,,stockley-bridge-seathwaite
"The team had a report of a family with six small children in a minibus stuck on sheet ice on Honister. A team Sprinter with was sent to Honister to retrieve the stricken family but on arrival at Honister no vehicle was seen. The Buttermere side of the pass was checked out also with no sign of a vehicle or people. The team returned to base.
11 members – 1 hour 36 minutes",,honister-pass
A 26 year old woman became crag fast while climbing Pitch 4 of Troutdale Pinnacle on Black Crag in Borrowdale. Both were uninjured but she was unable to go up or down. A small team set off and rigged from the top of the crag lowering a team member to the couple and then they were both raised to the top. The team derigged and walked the couple down to their car. 10 team members – 2 hours,,troutdale-pinnacle-on-black-crag-borrowdale
"A 26 year old walking on Sharp Edge with a group of 10 friends, slipped at the usual place probably due to the icy conditions. He fell around 50 foot down a rocky gully reporting a possible arm injury. His brother managed to scramble down to him but they were then unable to move any further. Helimed 58 were on the scene quickly and they dropped 2 medics off near the site and they were able to reach the casualty and assess him. The team then sent two vehicles of members to Mousethwaite where Helimed 58 was able to RV with them and uplift 6 of the team to the foot of the ridge. This saved a lot of time and the team were able to rig from above the casualty and sent the team paramedic down and they were then both lowered to the ‘chicken path’. The casualty was flown down to Mousethwaite where he met up with his father who took him to hospital to get checked. 11 team members – 3 hours 32 minutes",,sharp-edge
"A 71 year old gentleman out walking reported having chest pains on the summit of Carrock Fell. As the team were already out on Sharp Edge and the potential seriousness of his condition, GNAAS flew straight to the scene from helping at the Sharp Edge. 3 team members – 1 hour",,carrock-fell
"A group of 7 Duke of Edinburgh students were caught in bad weather on Crag Hill with one of them succumbing to mild hypothermia. The group did a good job in supporting each other and made a shelter with one of their tents. With help from a passing walker they then made their own way down to Coledale Hause and on towards Force Crag Mine where they met Keswick MRT who assessed their condition. Although some were still cold, a change into dry clothing lifted their spirits and they continued on to Braithwaite to meet their supervisor. 13 team members – 1 hour 40 minutes",,crag-hill
A 66 year old lady tripped near the summit of Cat Bells resulting in a suspected broken ankle. Pain relief was administered and the lady was then stretchered from the summit of Cat Bells to the lake shore road and a waiting ambulance. 12 team members – 3 hours,,cat-bells
"An experienced 58 year old fell walker and his 12 year old grand daughter were dropped off at Seathwaite at the head of the Borrowdale Valley at 08:30 with the intention of climbing Great Gable. The man had previously done this route many times and he made an arrangement to rendezvous at Honister at 12:30 with his daughter, the girl’s mother. When they didn’t show up the daughter reported them as missing. Keswick sent teams to the main descent paths from Great Gable with two teams setting out from Honister including search dog ‘Bear’ and a further two teams covering the routes from Seathwaite. Cockermouth and Wasdale teams also had members on the hill searching their respective sides of the mountain. Conditions were not good with heavy rain showers, strong winds and a summit temperature on Great Gable of only 4 degrees. All teams were informed by radio and returned to base when the 2 persons turned up safe and well in the valley.
12 members – 4 hours and 10 minutes",,great-gable
"A 43 year old woman was Ghyll scrambling in the Beck. Whilst sliding down a waterfall chute her leg slipped sideways resulting in break to her lower leg. A member of Cockermouth MR happened to be in the area and gave immediate assistance by splinting the leg and providing some pain relief. Keswick team arrived shortly after, provided further pain relief, and stretchered her to an ambulance on the Newlands road. 7 team members – 2hours 5 minutes",,stoney-croft-beck
1 hour 18 minutes – 18 team members,,blease-fell-blencathra
