title,date,loc,gridref,incident
Group requiring assistance on Helvellyn,2023-03-11,Helvellyn,NY 35060 14924,"At 18.49hrs  on Saturday 11th March the Duty Leader was contacted by Cumbria Police to a group of 9 males form the Manchester area who were somewhere on Striding Edge/Helvellyn area needing assistance to get back down to their vehicles.Contact was made with the group and after a short while a Sarloc text was intercepted and the groups location was on the summit of Helvellyn. The team were put on standby whilst it was ascertained the best way of getting the group off safely, they were not injured had waterproofs and torches but no maps or compasses to assist them in the navigation off. It was decided the best route for them to take was down to Thirlmere as they did not want to go back over either of the edges due to the conditions. The group eventually started to descend down Brown cove crags and down the path , the Duty Leader monitored their progress on live location on WhatsApp and further phone calls. Two vehicles were despatched from Patterdale to liaise with the group and drive them back to their vehicles at Glenridding so they could head back to their accommodation in the south lakes.  It was established the group had set off far too late in the day mid afternoon and as they traversed  striding edge it had got dark on climbing to the summit, they had boots and waterproofs plus torches but no other winter gear. At times they were knee deep in snow and it was blizzard conditions on the way down, they were extremely grateful for the assistance. The rescue took just under 4 hours and involved 3 team members whilst the rest of the team were on standby."
Missing person search,2023-02-21,Wastdale,NY 22448 07818,"On Tuesday 21/02/23 Patterdale MRT responded to a request from Wasdale Mountain Rescue to assist in a search for a missing person. Wasdale team were coordinating an extensive search after being out overnight to locate a missing walker. At first light a team of 4 Patterdale Team members were tasked with searching the footpaths between Stonethwaite and Esk Hause. Patterdale did not locate the walker, but thankfully he was located safe by other teams on the east bank of Piers Gill.
 

 

 "
"Ankle Injury on the path leading to Red Tarn, Helvellyn",2023-02-04,"Path leading up to Red Tarn, Helvellyn",NY 35579 15803,"Volunteers of Patterdale Mountain Rescue Team had recently returned from their annual winter mountaineering weekend when they were called out by Cumbria Police, to reports of a lady who had slipped and injured her ankle while ascending the path up towards Red Tarn, Helvellyn.

When the team arrived on scene, a bivi shelter was erected to provide protection from the elements while the ankle was assessed. Due to the nature of the injury, the ankle was placed in a splint and the lady was transferred on to a stretcher and transported back to Greenside Mines to the team landrovers.

The rescue lasted 3.5hrs and involved 9 members.

"
Ankle injury at Angle Tarn,2023-01-21,Angle Tarn,NY 41754 14557,"On Sunday 22/01/2023 at around 1600hrs the team responded to a call out at Angle Tarn. The information was that a female walker had injured her ankle and was unable to continue. The casualty had been on a walk with her sister when she had slipped on ice and gone over on her ankle. Fortunately there were some other people up at the tarn who were due to wild camp there that night. The campers made sure that the casualty was kept warm with a sleeping bag and extra jackets until the team arrived on scene.

Once on scene the casualty was assessed by the team doctor and her very swollen ankle was stabilised with a splint. The casualty was then evacuated off the fell by stretcher. Once back at the base she was handed over to an ambulance for transfer to hospital.

The incident lasted 5 hours and involved 15 team members.



 

 

 "
Vehicles stuck on Kirkstone Pass,2022-12-18,Kirkstone Pass,NY 40269 08626,On Sunday 18th December Cumbria Police requested assistance from  Patterdale Mountain Rescue to a minibus which had become stuck on KIrkstone Pass in the snowy conditions.  The team mobilised their Land rovers to the area where Team Members found a minibus full of passengers stranded after their vehicle had become stuck in the snow and unable to go any further.  The occupants were shuttled down the pass to a place of safety at the Brotherswater Inn.  Several vehicles had become stuck or abandoned and another party of four who were on their way home from a Wedding were also rescued and once back at Patterdale Base arranged transport to their home address. The pass was closed overnight due to the conditions and stranded vehicles.  The incident took three hours and  involved 10 members in total.
Shouts for help,2022-08-21,Grisedale ,NY 36341 14362,On Sunday 21/08/22 at around 16:45 hrs. The team received a report via Cumbria Police that shouts for help had been heard in the Grisedale Valley. The person who had called the police had been flying a drone and seen some people on the fell and they believed they were shouting for help. The team leader tried to make contact with the person who had made the report to get more details regards the exact location and what they had heard. Unfortunately the phone wasn't answered and the team were stood down pending further contact.
Couple cold on Whiteside,2022-08-30,Whiteside,NY 33843 16101,"On Tuesday 30/08/22 at around 21:30 Cumbria Police alerted the team regards a 999 call they had received from a couple of walker on their way down from Helvellyn. The walkers had stated they were on their way down and not lost nor injured, but that they were cold. The team leader unsuccessfully tried to make contact with the couple. The weather conditions were fine with little wind and it was not cold. The team leader send a text message advising to call back if they required assistance. The team were then stood down pending further contact from the couple."
walker with heat exhaustions,2022-08-14,Mires Beck,NY 37499 16469,On Sunday 14/08/22 at around 1830hrs the team were called regards a walker who was suffering from heat exhaustion and unable to walk. The team located the female walker on the Mires Beck path coming down from Birkhouse Moor. The casualty and her friends had walked Helvellyn via the edges and as they were coming down from Birkhouse Moor she was unable to continue. The casualty was severely affected by the heat that day. The casualty was cooled down and then evacuated off the fell by stretcher to the team's Landrover. After recovering at the team's base she was able to make her own way home with her friends.
Ankle Injury Heron Pike,2022-10-15,Heron Pike ,NY 37257 17849,"On Saturday 15/10/22 at around 1300hrs the team were called regards a walker who had slipped and injured her ankle. She was with her partner on Heron Pike. Around the same time the team received a second call out about a walker who had fallen from Striding edge. The team leader made contact with Penrith MRT and they kindly assisted to deal with the Heron Pike incident, to allow Patterdale MRT to deal with the Striding Edge incident."
"Group ,lost at Threshwaite Mouth",2022-11-12,Threshwaite Mouth Hartsop,NY 42530 10340,"On Saturday 12th November at 18.40hrs whilst the team were on another search they were made aware of a group of 4 who were lost in the dark near Threshwaite Mouth in Hartsop.  A Deputy Leader spoke to the group on the phone and established they were trying to walk back to their vehicle which was the summit of Kirkstone Pass. Unfortunately they took longer than planned and when it became dark they were caught unawares due to not having any torches. Fortunately whilst the Team Leader was talking to the group another group of walkers, some venture scouts came across them they offered to assist the women down to the valley floor.  Team members who had been cleared from the earlier rescue drove to the Hartsop valley and made their way on foot to liaise with the two groups and assisted the benighted group back to their car and to safety.

The team would like to remind walkers and anyone venturing into the hills how quickly it gets dark through the winter months. Please check out the advice at Adventure Smart.uk"
Fallen walker Hartsop above How,2022-12-14,Hartsop above How,NY 39972 13266,On Wednesday 14/12/22 at around 1400hrs the team received a call regards a lone walker who had slipped on ice and felt dizzy after. The team were already dealing with another incident at the time. It was quickly established that the male was on a path coming down from Hartsop above How fell. Three team members made for the area and met the walker in Cowbridge carpark. The walker was fine and had bruised his knee after the fall and had then managed to walk down himself. No further action was required and the rest of the team were stood down.
Slipped on icy path,2022-12-14,Gowbarrow Fell,NY 41070 22000,On Wednesday 14th December at 12.35hrs the team were requested by Cumbria Police to a female who had slipped on an icy path whilst descending Gowbarrow after setting off from Aira Force  with a walking group.  The Duty leader called out the team and 9 members attended where they were able to drive a Landrover near to the casualty site then made their way on foot for the final stretch. The female was treated for a suspected fractured ankle placed on a stretcher and sledged down to the roadside where she was then conveyed to the groups transport back at Aira Force.  The lady was then taken to hospital for further treatment.  The rescue took around 3 hours in total .
Walker suffered seizure,2022-12-03,Hartsop,NY 41670 12883,"On Saturday 04/12/22 at around 10:30 the team received a call out from NWAS regards a walker who had fainted and had suffered a seizure. The walker and her friend had only just set off from Hartsop to walk to Angle Tarn, when she unexpectedly fainted and fell to the ground. Another couple who were passing stopped to help and they called 999. The Patterdale team, the Great North Air Helimed and a land ambulance responded. The casualty was assessed by the helimed’s medic and she was then transferred to the land ambulance in the team’s Landrover.

"
Ankle Injury Thornhow End,2022-11-27,"Thornhow End descending from Birks, Grisedale.",NY 38500 15340,"On Sunday 27th November at around 16:30 hrs  Cumbria Police requested the Teams assistance for a Female who had slipped and sustained a leg injury, she had been walking in the Grisedale valley descending from Birks towards Patterdale .The Deputy Leader contacted the casualties colleagues and due to the nature of the suspected injury from the description given a Coastguard Rescue Helicopter was requested for a quick evacuation. Team members were quickly on scene and the female was given pain relief by Team Doctors as she was in considerable pain, her leg was put in a splint and she was then placed onto the stretcher ready for the Helicopter to lift her.  As the Coastguard Helicopter arrived the weather became heavy rain and poor visibility forcing it to hold off in the valley bottom for a while.  Through some excellent flying they eventually  managed to get to the scene and winched the casualty on board and she was then flown to Hospital for further treatment.  The  team thanks the Coastguard for their assistance in the rescue , seventeen team members attended the incident which took just over 3 hours."
Reports of screaming and shouting on the fell,2022-11-12,"Hole in the Wall area, Grisedale ",NY 36261 15042,"On Saturday 12th November at 16:47hrs the team were called by Cumbria Police to reports of persons possibly needing assistance in the Grisedale Valley on the hillside between the sheepfolds and Hole in the Wall.  A Deputy Leader spoke to the informant who had walked down to Patterdale Base and on gathering further information from them the team were called out to make a search of the area..  The persons who had been shouting ,screaming and waving their arms around were seen half way up the hill from the valley bottom , it was stated that there were two or possibly three all in dark clothing and they were definitely trying to attract attention of anyone in the area.  Two groups of team members were dispatched into the valley  , one group searched the lower path back down the valley and then  made their way up the hillside past the possible location. The other group made their way up the main track to the Hole in the Wall, nothing was found in the area and team members returned back to Patterdale Base. The alarm was raised with good intentions the informants were convinced it was someone in trouble and as usual the team were happy to go and make a search of the area in case someone was in need of assistance. The incident took just over 3 hours involving 14 members in total."
Ankle injury on Hallin Fell,2022-10-17,Hallin Fell,NY 43390 19860,"At 12:57 on Monday 17th Oct 2022, Patterdale MRT were alerted by Cumbria Constabulary that a 69 year old man from the south east had slipped on wet grass near to the summit of Hallin Fell, injuring his left ankle.  Eight Team members responded to the call out and and rendezvoused at Pooley Bridge before proceeding in Team vehicles to the Hause beneath Hallin Fell and then ascending to the summit.  The casualty was assessed by a Team doctor and his ankle was splinted before he was placed in a stretcher and sledged down to the church.  The casualty was driven to Penrith Hospital in his own car by his partner.

The Team would like to thank Penrith MRT who mobilised 4 Team members to offer support which was not eventually required.

The rescue involved 8 team members and took approximately 2.5 hours.

 "
Fallen walker Striding Edge,2022-10-15,Striding Edge,NY 34600 14975,"At 1pm on Saturday 15th October, Patterdale Mountain Rescue Team were called to attend a woman with an ankle injury on Heron Pike, one of the fells overlooking Ullswater.  As the team were assembling for this incident, a second call came in, alerting the team to a 24 year old male who had fallen off Striding Edge, Helvellyn.
Due the potential serious nature of the Helvellyn incident, the team asked for assistance from Penrith Mountain Rescue Team to handle the first incident, so that resources could be redirected.  Strong winds, heavy rain and poor visibility meant that an Air Ambulance had to turn back before reaching Helvellyn, and assistance from a coastguard helicopter was also requested.
The Helvellyn casualty was located below Striding Edge in the area of the “bad step”, having fallen approximately 10m down towards Red Tarn.  On reaching the scene, the casualty was treated for back, pelvis and ankle injuries – he was given pain relief, placed in a full body splint, packaged in a casualty bag and strapped into a stretcher.  Once on the stretcher he was hoisted back onto the ridge, where during a weather window, the coastguard helicopter was able to winch him onboard.  Two companions of the casualty were then walked off the hill, having become cold and mildly hypothermic.
While all this was occurring, Penrith team, assisted by members from Kirkby Stephen team, had reached the woman with the ankle injury on Heron Pike.  She was placed in a stretcher and caried back to the valley to rendezvous with an Ambulance at Glencoyne.
The two rescues took 6 hours and involved 13 members of Patterdale MRT, 9 members from Penrith MRT, 2 members from Kirkby Stephen MRT and a Coastguard helicopter.


 "
Helvellyn Search,2022-10-12,Whiteside,NY 33893 16327,"Patterdale Mountain Rescue Team were alerted shortly after 19:00 on Wednesday 12/10/2022 by Cumbria Police to a report of two walkers in their mid-70s who were overdue.  The pair were part of a walking group from the North East on a day trip to the Lake District and had failed to return to their coach.  They were reported as experienced and well equipped and other walking parties from the same group were able to confirm that they had last been seen at about 13:30 at Nick Head heading towards Sticks Pass.  The pair had also left a route plan with the trip organisers.
A search was intiated involving 12 members of Patterdale MRT, aiming to send parties along their intended route over the Helvellyn massif and the escape routes off the ridge to the East.  Support was requested from the Lake District search dogs and two handlers were deployed to search the high corries to the side of the ridge.  In addition Keswick MRT were mobilised to search the routes down the West side of the mountain.  Both missing persons were reported as carrying a mobile phone; these appeared to receive text messages, but calls went directly to voice mail.

As the search progressed the cloud cleared from the mountain and the Team requested a Coast Guard Helicopter to over fly the area with night vision and infra-red search equipment.

At about 23:00 two members of Patterdale MRT discovered the casualties close to the path just south of Whiteside top.  Both casualties were exhausted and significantly hypothermic with one of them confused and disoriented.  The Patterdale Team members were joined by one of the dog handlers and members of Keswick team, and between them they got the pair into a shelter and survival bags, applied heat packs, and provided additional clothing, food and drinks.  The requested helicopter was reassigned to collect the pair, one of whom was stretchered to the aircraft, and they were both flown to Cumbria Infirmary, Carlisle.



Patterdale MRT would like to thank Keswick MRT, Lake Distict Search Dogs and the crew of Rescue 139 for their assistance with this successful search and rescue operation.  The pair might well not have survived the night, but they undoubtedly helped themselves by leaving a clear plan of their intended route.

As the nights draw in, the weather worsens, and the clocks go back, Patterdale MRT would like to remind parties to be well prepared for all conditions. Please visit www.adventuresmart.uk to plan your next adventure.

"
"Ankle Injury Raise,Glenridding",2022-10-08,"Raise , Near Glenridding",NY 34300 17900,"On Saturday 8th October at 13:40 hrs the team were called by Cumbria Police to a male who had been taking part in a Race and had injured his ankle whilst Descending the path between Stybarrow Dodd and the Raise. He had tried to carry on running but was unable to do so due to the pain so requested assistance.  The Team were mobilised and headed to the scene , also in the area were 3 members of the RAF Mountain Rescue and they also responded to the area on the request of Patterdale duty leader.  The male was treated for the ankle injury and a splint was used to stabilise the injury, he was placed in a casualty bag to keep warm and stretchered off the hill down to Greenside. The male was then collected form Patterdale Base by the race organisers and taken for onward treatment. The rescue took 3.5 hours with 15 personnel involved."
"Ankle Injury Hallin Fell, Martindale",2022-10-01,"Hall in Fell, Martindale",NY 43545 19397,"On Saturday 1st October at 14:00hrs the team were requested by North West Ambulance to assist a female who had slipped and had an injury to her ankle. Due to the location of the casualty who was around 500 metres from the road side a limited call out was initiated and 6 team members responded to the scene. On arrival they found the female who had been walking  down the steep grassy slope stating she had slipped and gone over on her ankle.  The casualty was examined and pain relief given, she was then placed in a leg splint for her suspected fractured ankle and sledged off the hill in a stretcher. Once safely down at the roadside the female was taken to hospital for further treatment by her colleagues. The incident took 2 hours in total."
Ankle Injury Hartsop,2022-10-02,"Descending Rest Dodd, Hartsop",NY 42100 13000,"On Sunday 2nd October the team were tasked at 10.45hrs by Cumbria Police to a male who had fallen whilst taking part in a Fell Race as he was descending from the Rest Dodd area down to the Pump House in the Hartsop Valley.  Team members alongside medical students who were at Patterdale base on a course attended the incident in two Landrovers. The casualty was assessed and given pain relief for a suspected Fractured Ankle, he was then placed in a leg splint and conveyed  down to his colleagues vehicle where he was taken for further treatment at hospital.  This rescue involved 6 team members plus 5 medical students lasting just under two hours."
Lost on Gowbarrow Fell,2022-09-28,Gowbarrow Fell ,NY 41342 21360,"On Wednesday 28/09/22 at around 1830hrs the team were called out to rescue 2 lost walkers and their dogs. The couple and their 2 sausage dogs had set off for a walk from their hotel and got lost on Gowbarrow Fell. When it got dark and started to rain heavily they called 999 to get help. Six team members went out and located the couple and their dogs cold and very wet. The dog's little legs had given up walking and were carried off using the couple's doggie pram and a catbasket brought along by the team's vet. They were escorted off the fell back to the team landrover and dropped back at their hotel.



 

 "
Male fallen into Gorge,2022-09-24,Aira Force,NY 39900 20600,"On Saturday 24th September around 15.00hrs whilst the team were already on a rescue near Red Tarn they were alerted to another request for assistance from North West Ambulance to a male who had fallen around 20 metres into the gorge and water at Aira Force sustaining injuries.  Part of the team left the first incident and travelled to Aira Force where they found the male being assisted by members of the public who had managed to climb down to him. Also on scene were Cumbria Fire and rescue, North West Ambulance and the Air ambulance.  The teams health care professionals were lowered into the Gorge  and proceeded to assess the casualty providing immediate care and pain relief as he had sustained injuries to his Head, shoulder and back. Due to the nature of the incident and the precarious location members of the fire service who were already kitted out in Swift Water Rescue suits and buoyancy aids also went down to provide safety cover. A technical rope system was then set up to haul the casualty up out of the Gorge once he had been given treatment, stabilised and placed on the stretcher. The casualty was then carried out of the falls and handed over to the Ambulance to be taken to hospital for further treatment. The team wish the male a speedy recovery from his injuries and ordeal.  We would also like to thank the other services for their assistance in this difficult and time consuming rescue,  The incident took just under 3 hours involving 24 team members.

Aira Force is a popular place for members of the public and we have been to numerous incidents there this year we would like to remind everyone to take care when near the edges of the waterfalls as they can be slippy."
Female with ankle injury,2022-09-24,"Red Tarn Path , Glenridding",NY 35600 16600,"On Saturday 24th September at 14.00hrs the team were called by Cumbria Police to a female who had been walking down from Red Tarn on the main path back to Glenridding when she went over on her ankle.  Fortunately the Team were at Patterdale Base on their Casualty Care Course ready for their exams in two weeks time and were quickly dispatched to the scene. On arrival the female was assessed and treated for a suspected fractured ankle , she was given pain relief and carried down to a team Landrover. She was then transferred to her own vehicle and driven to hospital for further treatment by her husband.  The team wish her a speedy recovery and hopefully enjoy the rest of their holiday.  20 team members attended the rescue which took just over two hours."
Lights seen Dovedale,2022-09-10,"Priest Hole , Dovedale",NY 37595 10981,The team were called on 10/09/22 at around 2200hrs regards report by a camper on Sykeside campsite who was concerned about torchlight which could be seen high up the fell on Dovedale. The team leader made contact with the caller and it was quickly established that the lights were coming from the Priest Hole area. The Priest Hole is a popular overnight bivvy spot and hence there were no concern for the lights and the team were stood down.
Reports of a collapsed male,2022-09-17,Path below Gowbarrow Fell,NY 41400 21700,"Team members of Patterdale MRT were called North West Ambulance Service to their second rescue of the day to reports of a male who had collapsed while walking along the Ullswater way. Due to the nature of the request for assistance, Helimed (H58) was immediately requested and were able to provide immediate medical assistance on arrival.

It is with great sadness that the gentleman could not be resuscitated and the team wishes to pass on our thoughts and condolences to his family and friends.

 

 

 "
"Male with ankle injury, close to Hole in the Wall, Striding Edge",2022-09-17,"Close to Hole in the Wall, Striding Edge",NY 36302 15934,"Volunteers of Patterdale Mountain Rescue Team were called by Cumbria police to reports of a gentleman who has sustained an ankle injury. The male was located close to the Hole in the Wall just before the reaching Striding Edge.

After attempts failed to reach the informant by mobile phone to ascertain medical updates it was decided to call a Coastguard aircraft and along with Penrith MRT. Due to a rapid response from the Coastguard the male was treated on scene by their paramedic just as team members arrived on scene. After treatment the male was flown down to Patterdale playing fields where along with his companion made his was to hospital for a further check up.

Thanks go the Coastguard and Penrith MRT for assistance."
Ankle Injury,2022-09-13,Near Lanty’s Tarn,NY 38030 16280,"On Tuesday 13th September at 17.00hrs the team were called by Cumbria Police to assist a female who had fallen and received an Ankle Injury near Lanty’s Tarn ,Glenridding. The team responded and fortunately were able to drive a Landrover very close to the scene.  On arrival the female who was on holiday with her husband from Holland was treated for a suspected fractured ankle, she was given pain relief her ankle was splinted and she was placed on a stretcher and carried back to the Landrover.  Once back at the Rescue Base she was transferred into a North West Ambulance and conveyed to Hospital for further treatment.  13 team members were involved in the rescue which took 2.5 hours. The Team wishes the casualty a swift recovery and hopes they can enjoy the rest of their holiday."
Ankle injury Brock Crags,2022-09-10,Brock Crags,NY 42004 13697,"On Saturday 10/09/22 at 13:30 hrs the team were called regards a female who had slipped and injured her ankle unable to continue. The walker had been walking on Brock crags with her dog and was heading for Rest Dodd when she slipped and injured her ankle. Passersby requested mountain rescue on her behalf and stayed with her and the dog until the team was on scene. The casualty was given pain relief and her ankle was stabilised with a vacuum splint and was then evacuated down the fell to the team Landrover. The rescue lasted 3.5 hrs and involved 10 Patterdale and 4 Penrith team members. We would like to thank our neighbouring team Penrith for assisting in this rescue.

"
Head injury descending Helvellyn,2022-09-05,Hole in the wall path Grisedale ,NY 36409 15700,"On Monday 05/09/22 at around 18:30 the team were called out regards a walker who had fallen over and had a laceration to his head. The walker and his partner had been descending into the valley after walking Helvellyn via the ridges. They were coming down into Grisedale via the Hole in the wall path when the male tripped and hit his head on rocks. The walker sustained a deep laceration.

The team fittest doctor was first in scene and fully assessed and bandaged the wound. Fortunately the walker had remained conscious throughout and had not fractured anything. The casualty was evacuated via strecher to a team landrover and was later taken to hospital by his partner.

The rescue involved 16 team members and lasted 3.5 hours.



 "
Extreme gardening on Helvellyn,2022-08-18,Helvellyn,NY 34365 15158,"On Thursday 18/08/22 at around 12:00hrs the team were called out with a report that 2 people and a dog were stuck on the Helvellyn headwall. The concerned walker who raised the alarm had been descending Swirral edge in wet weather, when he saw 2 persons and a barking dog high up on the Helvellyn headwall. The headwall is steep and there are no footpaths and normally only accessible by climbers. The walker observe them for about 15mins and became increasingly concerned as they weren't moving and did not respond to him shouting up to get their attention.
Two team members walked up to investigate and whilst ascending towards red tarn they met 2 men and a yappy dog. It turned out they worked for the John Muir trust and had been on the headwall planting rare arctic-alpine plants. We like a good ending!

The John Muir trust do great work looking after the Glenridding common, re-establishing rare plants and mountain woodland species as well as loads of other conservation work. Check out their important work in the Ullswater Valley and around the UK.

https://www.johnmuirtrust.org/about-us/where-we-work/glenridding-common"
,2022-08-07,Ullswater ,NY 39544 18879,"On Sunday 07/08/22 at around 1300hrs the team were called out regards a missing paddleboarder on Ullswater, last seen in the middle of the Lake on the South side of the Lake. The incident was a multi agency response and the team worked together with the Police, Coastguard, Cumbria Fire and Rescue, NWAS, LDNPA and Maryport inshore rescue, to try and locate the male. The search involved numerous rescue boats and shore based swift water rescue technicians as well as a coastguard helicopter. Unfortunately the missing paddleboarder was not located and the initial rescue search phase was stood down at around 1700hrs. This incident involved 21 Patterdale Team members. Police are coordinating further ongoing search efforts.

The team would like to stress the importance of keeping yourself save on the water. Go to https://www.adventuresmart.uk/paddle-boarding-kit-list/ for easy to use guides.

 

 "
Ankle injury on Rest Dodd,2022-08-06,Rest Dodd,NY 43215 13433,"On Saturday 06/08/2022, the team received a call out regards a walker who had injured her ankle whilst descending Rest Dodd. The casualty and her companions had set off early that day from Hartsop for a walk around Brock Crags and surrounding peaks. The casualty has slipped on a grassy track and injured her ankle, after which she was unable to weight bare and carry on.

10 team member responded and went up from Hayeswater. The team doctor stabilised the injury with a splint and she was then evacuated off the fell on a stretcher to the team landrover at the Hayeswater outflow. The rescue lasted 3 hours.

"
Male lost on Helvellyn,2022-08-03,Dollywagon Pike,NY 34639 12808,"On 3rd August he team were called to assist a male who had become lost in low cloud while walking on Helvellyn.

After investigation the location was confirmed as Dollywagon Pike and no injuries were reported. Keswick MRT were able to escort the male back down to his car."
